ID;Fecha Modificacion;Fecha Descarga;Id_Departamento;Cod_Departamento;Departamento_es;Departamento_eu;Fecha Inicio Dpto;Fecha Fin Dpto;Tipo_Estructura;Tipo_Organo_es;Tipo Organo_eu;Id_Organo;Cod_Organo;Organo_es;Organo_eu;Fecha Inicio Org;Fecha Fin Org;Id_CentroOrg;Cod_CentroOrg;CentroOrg_es;CentroOrg_eu;Fecha Inicio Centro;Id_TipoCentro;TipoCentro_es;TipoCentro_eu;Cod_CentroSAP;Centro_dest.or;Centro_Destino;Calle/Numero;CP;Pais;Municipio;Localidad;Telefono;Fax;Correo_Electronico;Id_Posicion;Cod_Posicion;Posicion_es;Posicion_eu;GR.PER;Des.ES.grupo;Des.EU.grupo;APER;Des.ES.area;Des.EU.area;Id_TipoCargo;TipoCargo_es;TipoCargo_eu;Id_Empleado;DatosPersonales;Fecha Nombramiento;BOPV Nombramiento;
62137;19/10/2022;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001607;9,06E+11; Red de Salud Mental de Araba; Arabako Osasun Mentalaren sarea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007857;7076/1;DIRECTOR/A ECONÓMICO-FINANCIERO GR.4;EKONOMIA-FINANTZA ZUZENDARIA, 4. MAILAKO;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD36;Director/a Económico-Financiero Gr.4;Ekonomia-Finantza Zuzendaria, 4. Mailakoa;51000;VILLACIAN CANTABRANA, JUAN CARLOS;10/10/2022;200/2022;
62424;18/11/2022;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001611;9,06E+11; OSI Barrualde-Galdakao; Barrualde-Galdakao ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007772;7063/2;DIRECTOR/A ATENCIÓN INTEGRADA GR. 2;ARRETA INTEGRATUKO ZUZENDARIA 2. MAILA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD23;Director/a Integración Asistencial Gr.2;Integrazio Asistentzialeko Zuzendaria, 2. Mailakoa;51717;MARTINEZ AYUSO, MIREN EDURNE;14/11/2022;219/2022;
62711;24/11/2022;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001614;9,06E+11; Hospital de Gorliz; Gorlizeko Ospitalea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007859;7076/3;DIRECTOR/A ECONÓMICO-FINANCIERO GR.4;EKONOMIA-FINANTZA ZUZENDARIA, 4. MAILAKO;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD36;Director/a Económico-Financiero Gr.4;Ekonomia-Finantza Zuzendaria, 4. Mailakoa;51862;TXARRAMENDIETA SUAREZ, JON;21/11/2022;220/2022;
62998;02/05/2023;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;6370;12000000000; Secretaría General de Unión Europea y Acción Exterior; Europar Batasuneko eta Kanpo HarremanetakoIdazkaritza Nagusia;15/04/2023;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;60001651;5269/1;ASESOR/A  SECR. GRAL.  ACCIÓN EXTERIOR;KANPO-EKINTZAKO IDAZKARI OROKORR. AHOLKU;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;52530;AREITIO IBARLUCEA, ASIER;15/04/2023;81/2023;
63285;27/12/2022;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001618;9,06E+11; OSI Donostialdea; Donostialdea ESIa;01/01/2015;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007762;7059/3;DIRECTOR/A ECONÓMICO-FINANCIERO GR.1;EKONOMIA-FINANTZA ZUZENDARIA, 1. MAILAKO;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD18;Director/a Económico-Financiero Gr.1;Ekonomia-Finantza Zuzendaria, 1. Mailakoa;52826;BLANCO SESMA, MARIA SOLEDAD;12/12/2022;;
63572;14/07/2023;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;5839;22300000000; Dirección de Tráfico; Trafiko Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;417281;9104/54;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;53504;OLABARRI GONZÁLEZ, ESTIBALIZ;14/07/2023;134/2023;
63859;02/05/2023;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;5164;11000000000; Secretaría General de Coordinación y Comunicación Social; Koordinazio eta Gizarte Komunikazioko Idazkaritza Nagusia;15/04/2023;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;60074084;5315/1;ASESOR/A IMPUL. PROG. BERPIZTU REACT.EC.;BERPIZTU PROGRAMA SUSTATZEKO AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;53781;SALABURU GAMARRA, PERU;15/04/2023;81/2023;
64146;31/01/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001618;9,06E+11; OSI Donostialdea; Donostialdea ESIa;01/01/2015;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60008152;7085/2;DIRECTOR/A ATENCIÓN INTEGRADA GR. 1;ARRETA INTEGRATUKO ZUZENDARIA 1. MAILA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD21;Director/a de Integración Asistencial Gr.1;Integrazio Asistentzialeko Zuzendaria, 1. Mailakoa;53887;UZKUDUN LIZAUR, EIDER;09/01/2023;;
64433;17/02/2023;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;6321;20000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60001666;5283/1;ASESOR/A IMPLAT. PROCES. GESTIÓN CALIDAD;KALITATEA KUDEATZEKO PROZES. EZARTZ. AHO;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;54305;ZUGADI LEKUE, EIDER;20/02/2023;34/2023;
64720;07/03/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001618;9,06E+11; OSI Donostialdea; Donostialdea ESIa;01/01/2015;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007756;7057/3;DIRECTOR/A MÉDICO GR.1;ZUZENDARI MEDIKOA, 1. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD16;Director/a Médico Gr.1;Zuzendari Medikoa, 1. Mailakoa;54604;AREVALO LOBERA, SARA;17/02/2023;46/2023;
65007;05/04/2023;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001640;9,07E+11; Instituto Vasco Etxepare Euskal Institutua / Basque Institute; Instituto Vasco Etxepare Euskal Institutua / Basque Institute;01/01/1980;31/12/9999;30001641;9,07E+11; Dirección para la Promoción y Difusión del Euskera; Euskararen Sustapen eta Hedakuntzarako Zuzendaritza;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60033203;7018/1;DIRECTOR/A  PROMOCIÓN Y DIFUSIÓN EUSKERA;DIRECTOR/A  PROMOCIÓN Y DIFUSIÓN EUSKERA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD02;Rango Director;Zuzendari maila;55177;MADINABEITIA MEDRANO, MONICA;15/03/2023;67/2023;
65294;05/04/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;5600;90000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;417575;5223/8;ASESOR/A EN COMUNICACIONES;AHOLKULARIA KOMUNIKAZIO GAIETAN;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;55183;VILLAMANDOS IPIÑAZAR, ITZIAR;01/04/2023;67/2023;
65581;30/05/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001607;9,06E+11; Red de Salud Mental de Araba; Arabako Osasun Mentalaren sarea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007853;7075/1;DIRECTOR/A DE ENFERMERÍA GR.4;ERIZAINTZAKO ZUZENDARIA, 4. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD35;Director/a de Enfermería Gr.4;Erizaintzako Zuzendaria, 4. Mailakoa;55633;RUIZ DE AZUA VELASCO, MARIA ANGELES;15/05/2023;101/2023;
65868;10/07/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001621;9,06E+11; OSI Alto Deba; Debagoiena ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007820;7069/5;DIRECTOR/A DE COOR. ASIST. A. MEDICA GR3;ARLO MEDIKOKO ASISTENTZIA KOORDINATZEKO;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD29;Director/a de Coordinación Asistencial Área Médica Gr.3;Arlo Medikoko Asistentzia Koordinatzeko Zuzendaria, 3. Mailakoa;55969;MORRONDO VALDEOLMILLOS, PEDRO;05/06/2023;122/2023;
66155;10/07/2023;16/01/2024;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;6225;40000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60074087;5318/1;ASESOR/A COORDIN. Y POLIT. DEPARTAMEN.;SAILEKO KOORDIN. ETA POLITIKAKO AHOKUL.;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;56128;LLORENTE CUELLAR, USUNE;23/06/2023;127/2023;
66442;14/07/2023;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;6873;22500000000; Dirección de Coordinación de Seguridad; Segurtasuna Koordinatzeko Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;322;5352;SEDE DE INTERIOR-ERANDIO;LARRAURI MENDOTXE BIDEA, 18;48950;ES;902;;946078000;;;433962;9104/118;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;56276;ERKOREKA ARRUZA, ASIER;14/07/2023;134/2023;
66729;24/07/2023;16/01/2024;6550;40000000000; Gobernanza Pública y Autogobierno; Gobernantza Publikoa eta Autogobernua;08/09/2020;31/12/9999;90;SP - Sociedad Pública;SP - Sozietate Publikoa;30001706;9,16E+11; Itelazpi, S.A.; Itelazpi, S.A.;01/01/1980;31/12/9999;30001706;9,16E+11; Itelazpi, S.A.; Itelazpi, S.A.;01/01/1980;C30;SP – SOCIEDAD PÚBLICA;SP - SOZIETATE PUBLIKOA;;;;;;;;;;;;60007967;7024/1;DIRECTOR/A GENERAL;ZUZENDARI NAGUSIA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD02;Rango Director;Zuzendari maila;56366;ZUBIAUR AGIRRE, XABIER;17/07/2023;140/2023;
67016;28/07/2023;16/01/2024;30002507;30000000000; Trabajo y Empleo; Lana eta Enplegua;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;30002507;30000000000; Trabajo y Empleo; Lana eta Enplegua;08/09/2020;31/12/9999;6503;32100000000; Dirección de Empleo e Inclusión; Enplegu eta Gizarteratze Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;405449;9104/51;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;56380;RAMOS VISPO, ENRIQUE JOSE;29/07/2023;143/2023;
67303;14/09/2023;16/01/2024;6482;80000000000; Planificación Territorial, Vivienda y Transportes; Lurralde Plangintza, Etxebizitza eta Garraioak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6482;80000000000; Planificación Territorial, Vivienda y Transportes; Lurralde Plangintza, Etxebizitza eta Garraioak;08/09/2020;31/12/9999;5480;80000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60032071;5230/6;ASESOR/A RELACIONES INSTITUCIONALES;ERAKUNDEARTEKO HARREMANETARAKO AHOLKULAR;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;56827;CARMONA TAMAME, ALVARO;11/09/2023;176/2023;
67590;18/09/2023;16/01/2024;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;6598;70000000000; Consejería; Kontseilaritza;28/11/2016;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60031520;5267/2;ASESOR/A EN MATERIA DE EDUCACION;HEZKUNTZA ARLOKO AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;57087;GARAMENDI MEABE, URKO;08/09/2023;178/2023;
67877;22/09/2023;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30004851;9,07E+11; Agencia Vasca de Ciberseguridad; Zibersegurtasunaren Euskal Agentzia;13/09/2023;31/12/9999;30004851;9,07E+11; Agencia Vasca de Ciberseguridad; Zibersegurtasunaren Euskal Agentzia;13/09/2023;C20;EPDP – ENTE PÚBLICO DERECHO PRIVADO;ZPEP - ZUZENBIDE PRIBATUKO ENTE PUBLIKOA;;;;;;;;;;;;60107170;7007/1;DIRECTOR/A GENERAL;ZUZENDARI NAGUSIA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD01;Rango Viceconsejero/a;Sailburuorde maila;58021;DIEGUEZ BARRIOCANAL, FRANCISCO JAVIER;19/09/2023;182/2023;
68164;05/10/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001616;9,06E+11; OSI Uribe; Uribe ESIa;01/01/2015;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60010081;7070/6;DIRECTOR/A COORD. ASIST. AREA ENFERM 3GR;ERIZAINTZA ARLO. ASIST. KOORD. ZUZENDARI;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD30;Director/a de Coordinación Asistencial Área de Enfermería Gr.3;Erizaintza Arloko Asistentzia Koordinatzeko Zuzendaria, 3. Mailakoa;58279;PASKUAL URIBE, MIREN AGURTZANE;14/09/2023;191/2023;
68451;05/10/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001619;9,06E+11; OSI Goierri-Alto Urola; Goierri-Urola Garai ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007831;7072/2;DIRECTOR/A DE PERSONAL GR.3;LANGILEEN ZUZENDARIA, 3. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD32;Director/a de Personal Gr.3;Langileen Zuzendaria, 3. Mailakoa;58280;ORTIZ DE LUZURIAGA HERNANDEZ, IDOIA;18/09/2023;191/2023;
68738;25/10/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;5600;90000000000; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60001668;5285/1;ASESOR/A PLANIFI. E INNOV. SANITARIA;OSASUN-PLANGINTZA ETA BERRIKUNTZAKO AHOL;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;58734;ERRAZKIN ETXAIDE, MADDALEN;14/10/2023;203/2023;
69025;26/10/2023;16/01/2024;30001600;9,00E+11; Otros Entes, LEY 1/2014, de 26 de junio; Beste Erakundeak, 1/2014 LEGEA, ekainaren 26koa;01/01/1980;31/12/9999;90;EPJP - Ente con Personalidad Jurídica Propia;NJPE - Nortasun Juridiko Propioko Erakundea;30001723;9,20E+11; Consejo Económico y Social del País Vasco (CES); Euskadiko Ekonomia eta Gizarte Arazoetarako Batzordea (EGAB);01/01/1980;31/12/9999;30001723;9,20E+11; Consejo Económico y Social del País Vasco (CES); Euskadiko Ekonomia eta Gizarte Arazoetarako Batzordea (EGAB);01/01/1980;C80;EPJP – ENTE CON PERSONALIDAD JURÍDICA PROPIA;NJPE - NORTASUN JURIDIKO PROPIOKO ERAKUNDEA;;;;;;;;;;;;60008234;7105/1;PRESIDENTE/A;LEHENDAKARIA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD01;Rango Viceconsejero/a;Sailburuorde maila;59155;MUÑECAS HERRERAS, JAVIER;20/10/2023;201/2023;
69312;26/10/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30002175;9,06E+11; OSI Araba; Araba ESIa;01/01/2016;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007763;7060/1;DIRECTOR/A DE PERSONAL GR.1;LANGILEEN ZUZENDARIA, 1. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD19;Director/a de Personal Gr.1;Langileen Zuzendaria, 1. Mailakoa;59241;FERNANDEZ RICO, NOELIA;23/10/2023;199/2023;
69599;05/11/2020;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;5576;21300000000; Dirección de Recursos Humanos; Giza Baliabideen Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;322;5352;SEDE DE INTERIOR-ERANDIO;LARRAURI MENDOTXE BIDEA, 18;48950;ES;902;;946078000;;;410702;9104/119;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;80032168;URIEN AZPITARTE, IZASKUN;03/10/2020;195/2020;
69886;31/03/2021;16/01/2024;6482;80000000000; Planificación Territorial, Vivienda y Transportes; Lurralde Plangintza, Etxebizitza eta Garraioak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6482;80000000000; Planificación Territorial, Vivienda y Transportes; Lurralde Plangintza, Etxebizitza eta Garraioak;08/09/2020;31/12/9999;5617;81100000000; Dirección de Planificación Territorial y Agenda Urbana; Lurralde Plangintzaren eta Hiri Agendaren Zuzendaritza;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;404835;9104/74;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;80077751;DE LA PUERTA RUEDA, IGNACIO;30/01/2021;21/2021;
70173;05/11/2020;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;6728;1,01E+11; Viceconsejería de Justicia; Justizia Sailburuordetza;30/01/2021;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;417748;9103/10;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;80077767;AGUIRRE ZURUTUZA, ANA;03/10/2020;195/2020;
70460;16/08/2021;16/01/2024;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;90;FSP - Fundación Sector Público;SPF - Sektore Publikoko Fundazioa;30001651;9,11E+11; Fundación Privada para el Centro Superior de Música del País Vasco (Musikene); Euskal Herriko Goi-mailako Musika Ikastegirako Fundazio Pribatua (Musikene);01/01/1980;31/12/9999;30001651;9,11E+11; Fundación Privada para el Centro Superior de Música del País Vasco (Musikene); Euskal Herriko Goi-mailako Musika Ikastegirako Fundazio Pribatua (Musikene);01/01/1980;C40;FSP – FUNDACIÓN SECTOR PÚBLICO;SPF- SEKTORE PUBLIKOKO FUNDAZIOA;;;;;;;;;;;;60007954;7098/1;DIRECTOR/A GERENTE;ZUZENDARI GERENTEA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD02;Rango Director;Zuzendari maila;80077836;JUARISTI LIZARRALDE, JUAN Mª;10/03/2016;;     Prórroga CAD expte: 00044/1041701
